nonblocking: 0.002036, num_procs: 36, N: 200
fence: 0.436729, num_procs: 36, N: 200
fence: 0.008926, num_procs: 36, N: 200
fence: 0.020536, num_procs: 36, N: 200
fence: 0.012245, num_procs: 36, N: 200
fence: 0.013048, num_procs: 36, N: 200
fence: 0.013015, num_procs: 36, N: 200
fence: 0.008775, num_procs: 36, N: 200
fence: 0.012240, num_procs: 36, N: 200
fence: 0.009806, num_procs: 36, N: 200
fence: 0.007642, num_procs: 36, N: 200
pscw: 0.108668, num_procs: 36, N: 200
pscw: 0.019887, num_procs: 36, N: 200
pscw: 0.010974, num_procs: 36, N: 200
pscw: 0.009083, num_procs: 36, N: 200
pscw: 0.009546, num_procs: 36, N: 200
pscw: 0.011820, num_procs: 36, N: 200
pscw: 0.008212, num_procs: 36, N: 200
pscw: 0.012937, num_procs: 36, N: 200
pscw: 0.010903, num_procs: 36, N: 200
pscw: 0.009941, num_procs: 36, N: 200
nonblocking: 0.084270, num_procs: 36, N: 300
nonblocking: 0.006292, num_procs: 36, N: 300
nonblocking: 0.006188, num_procs: 36, N: 300
nonblocking: 0.051360, num_procs: 36, N: 300
nonblocking: 0.005351, num_procs: 36, N: 300
nonblocking: 0.004975, num_procs: 36, N: 300
nonblocking: 0.004964, num_procs: 36, N: 300
nonblocking: 0.004969, num_procs: 36, N: 300
nonblocking: 0.004917, num_procs: 36, N: 300
nonblocking: 0.004905, num_procs: 36, N: 300
fence: 0.428372, num_procs: 36, N: 300
fence: 0.016053, num_procs: 36, N: 300
fence: 0.014546, num_procs: 36, N: 300
fence: 0.014694, num_procs: 36, N: 300
fence: 0.014083, num_procs: 36, N: 300
fence: 0.014520, num_procs: 36, N: 300
fence: 0.014195, num_procs: 36, N: 300
fence: 0.022707, num_procs: 36, N: 300
fence: 0.028867, num_procs: 36, N: 300
fence: 0.014179, num_procs: 36, N: 300
pscw: 0.100218, num_procs: 36, N: 300
pscw: 0.014420, num_procs: 36, N: 300
pscw: 0.014013, num_procs: 36, N: 300
pscw: 0.014717, num_procs: 36, N: 300
pscw: 0.055374, num_procs: 36, N: 300
pscw: 0.036527, num_procs: 36, N: 300
pscw: 0.015115, num_procs: 36, N: 300
pscw: 0.031547, num_procs: 36, N: 300
pscw: 0.043288, num_procs: 36, N: 300
pscw: 0.015462, num_procs: 36, N: 300
nonblocking: 0.098796, num_procs: 36, N: 400
nonblocking: 0.013048, num_procs: 36, N: 400
nonblocking: 0.012807, num_procs: 36, N: 400
nonblocking: 0.012155, num_procs: 36, N: 400
nonblocking: 0.011516, num_procs: 36, N: 400
nonblocking: 0.011115, num_procs: 36, N: 400
nonblocking: 0.010699, num_procs: 36, N: 400
nonblocking: 0.010359, num_procs: 36, N: 400
nonblocking: 0.010191, num_procs: 36, N: 400
nonblocking: 0.010206, num_procs: 36, N: 400
fence: 0.442148, num_procs: 36, N: 400
fence: 0.015493, num_procs: 36, N: 400
fence: 0.013374, num_procs: 36, N: 400
fence: 0.013479, num_procs: 36, N: 400
fence: 0.012861, num_procs: 36, N: 400
fence: 0.012927, num_procs: 36, N: 400
fence: 0.012995, num_procs: 36, N: 400
fence: 0.013159, num_procs: 36, N: 400
fence: 0.012939, num_procs: 36, N: 400
fence: 0.012861, num_procs: 36, N: 400
pscw: 0.098956, num_procs: 36, N: 400
pscw: 0.014838, num_procs: 36, N: 400
pscw: 0.014654, num_procs: 36, N: 400
pscw: 0.014233, num_procs: 36, N: 400
pscw: 0.014174, num_procs: 36, N: 400
pscw: 0.014184, num_procs: 36, N: 400
pscw: 0.017383, num_procs: 36, N: 400
pscw: 0.019220, num_procs: 36, N: 400
pscw: 0.018502, num_procs: 36, N: 400
pscw: 0.017771, num_procs: 36, N: 400
nonblocking: 0.095956, num_procs: 36, N: 50
nonblocking: 0.000106, num_procs: 36, N: 50
